"33","1","Junior Marketing Associate ","Responsibilities:
	•	Handling training of marketing, sales, and customer service
	•	Handling subsequent inquiries
	•	Creating a relaxed and fun environment for all our employers
	•	Living our commitment to providing an incredible service everyday
	•	Contributing to an awesome working environment and team culture
	•	We do fun team events as a group weekly and on holidays!
	•	Team Leading - training, organizing team events, managing merchandise and materials for the team, motivating and helping team members hit targets.
Applicants MUST:
	•	Be willing to learn and have an open mind set
	•	Have a professional appearance
	•	Have graduate studies in marketing, management, business, media, psychology or similar
	•	Enjoy working with people
"
"34","4","Marketing Strategy & Planning Lead","Great communication skills. Leadership skills (cross functional)(presenting to executive leadership). Great with Microsoft Suite (Excel, and PP). Attention to detail. 7-10 years of experience with majority in marketing. Bachelor's Degree. Marketing consultant, budgets, P&L experience."
"35","1","Service Marketing Consultant
Customer Service Representative ","Primary Responsibilities:
	•	Service Retention: Manage, develop, and improve service and parts maintenance programs, primarily Audi Care, to meet the specific needs of customers and improve service retention
	•	Manage Audi Canada’s After Sales Digital Retail program and vendors to expand and improve Audi Canada’s digital service offering


Qualifications
 
What we’re asking for:
	•	Bachelor’s degree or equivalent combination of education and experience within automotive service business required
	•	A great attitude and proven ability to be an effective business partner, team player, and collaborator
	•	3-5 years of experience, including in Automotive Service Operations, Digital Marketing and CRM Strategy

"
"36","5","Psychologist","Responsibilities
• Provide cognitive evaluations in Children`s Support Solutions clinics, schools or daycares; • Directly intervene and provide support to children and their families / support network; • Work in collaboration with other professionals within a multidisciplinary team; • Participate in projects to improve best practice; • Clinical support offered through regular consultations and supervision with clinical supervisor; • Opportunities to participate in special projects in remote locations and in training opportunities; • Perform other tasks as required;
"
"37","1","Travel consulting agent","Your tasks will entail:

• Taking incoming calls to make travel reservations.
• Answering questions regarding bookings, purchased products and activities.
• Processing travel arrangements with combination of money and points.
• Entering all the necessary notes into the customer’s file.
• Following up with customers when necessary.
• Other tasks and projects if necessary"
"38","2","Civil Engineering Technician","- The job duties and responsibilities of the Remote Site Compliance and Civil Engineering Technician (NOC 2231) include, but not limited to:

-  go to client’s sites including remote sites in British Columbia to provide water distribution systems technician services on Dimizine Technology’s unique product that provides water and waste water management services
-   provide technical support and services on Dimizine Technology’s unique product that provides water and waste water management services
-   provide technical support and services on Dimizine Technology’s unique product that allows for water resources engineering"
"39","1","CAD Technician","Responsibilities
	•	Assist survey manager in all aspects of project delivery;
	•	Conduct quality control checks of design drawings;
	•	Prepare & design alignment, profiles, sections, corridors using AutoCAD Civil3D
	•	Prepare quantity and cost estimates;
	•	Prepare technical construction specifications
	•	Create CAD drawings from concept to final design
"
"40","2","Fresh Mechanical Engineer","esponsibilities:

- Perform selection and sizing of the power transmission system based on customer specification. 
- Provide calculations by using current engineering software and tools
- Generate quotations and project proposals based on established sales policies
- Manage order processing activities and procedures.
- Effectively transfer technical order to international manufacturing plants through SAP/CRM and take ownership of the project/order.

Qualifications:
-Under Graduate Degree in Mechanical Engineering (2018/2019 batch)
-Excellent written and verbal communication skills
-Ability to deal with customers and Manufacturing team
-Ambition, the ideal candidate will be enthusiastic and ready to learn"
"41","3","Senior Mechanical Engineer ","Key Duties:
	•	Design all types of mechanical systems and equipment selection for use in various types of food or beverage plants (including HVAC, underground plumbing and other plumbing systems, natural gas facility distribution, etc.)
	•	Improve operations, reduce turnaround times, and optimize processes to provide seamless quality of engineering services
	•	Verify and validate engineering designs by testing protocols and analyzing statistical data
	•	Ensure ongoing compliance with local, national, and international standards and legislation
Must Haves:
	•	University Degree in Mechanical Engineering
	•	5 – 10 years of related experience working within the Food and Beverage Industry
	•	Working knowledge of Ontario Building Code (HVAC and Plumbing), Ontario Fire Code, CFIA, ASHRAE STD as applied to HVAC and Refrigeration, NFPA, OSHA, TSSA, CSA Standard for fuel related appliances and equipment
"
"42","1","Junior/Intermediate Electrical Technologist","You must have:
	•	An Electrical Engineering Diploma from a recognized college or technical institution
	•	Great interpersonal skills with the ability to develop business relationships
	•	Strong attention to detail, problem-solving and analytical skills
	•	Ability to prioritize and manage competing priorities with schedule and budget constraints
	•	Strong collaborative skills and willingness to liaise with other disciplines (drafting, construction, survey, and civil) to ensure projects are accurate, compliant, on-time and on-budget
"
"43","4","Electrical Systems Designer ","your responsibilities
	•	Be part of a team responsible for the electrical design, conditioning and electrical systems support of the cockpit flight simulator;
	•	Assist in the analysis of drawings, specifications and requirements from both internal/external customers;
	•	Assist in defining the simulator hardware configuration, produce equipment lists, wiring diagram and electrical system schematics required to stimulate this equipment in a simulation environment;


our requirements
	•	Bachelors in Electrical Engineering or equivalent;
	•	Strong knowledge of electrical engineering concepts;
	•	Good working knowledge of CAO systems and word processing/spreadsheet softwares;
	•	Good technical writing and communication skills;
	•	Experience with electrical, avionic and power systems;


"
"44","5","Bridge Engineer ","Qualifications

What You Should Have:
	•	Bachelors degree in Civil Engineering;
	•	At least 7+ years experience in design of structural steel, pre-stressed and reinforced concrete bridges and bridge rehabilitation;
	•	Experience with MTO projects is preferred;
	•	PEO Licensed P.Eng preferred;
	•	Conversant with CHBDC (CAN S-6) and the MTO Structural Manual;
	•	Effective communication skills in the English language (verbal and written);
"
"45","4","Package Delivery Driver","Qualifications and Skills
	•	Good knowledge of the city
	•	Strong organizational skills
	•	Previous customerservice experience

Requirements:
	•	Ability tolift up to 70lbs. unassisted
	•	Full class 5 license
	•	Clean DriversAbstract - No violations in the last 12 months, no accidents/suspensions inlast 3 years, no more than 2 violations or 5 demerits in the last 3 years
	•	Previousexperience driving various sized vehicles from 1-ton up to 5-ton
"
"46","4","Sr. Customer Assistant Representative","Requirements:
Must be at least 18 years old
High school diploma or GED equivalent required
Some college preferred
Must have at least 1 year prior customer service, retail, or administrative support experience
Must be authorized to work in Canada and not require work authorization sponsorship by our company for this position now or in the future.
No drug or alcohol related convictions on driving record (DWI/DUI) in past 5 years
Must have a valid driver's license with no more than two chargeable moving violations or accidents within the last three years."
"47","1","Guest Services Representative (Part-Time)","Key requirements
	•	High school education;
	•	Previous customer service experience preferred;
	•	Positive attitude and a strong desire to provide excellent customer service;
	•	Must be able to effectively communicate with shoppers, retailers, centre Management, Service Providers and all of the shopping centre personnel;
	•	Must be able to work in a fast-paced environment, with the ability to multi-task while maintaining a high level of professionalism;
	•	Strong written and oral communication skills, multilingual skills a plus;
	•	Conflict resolution/management skills;
"
